Type;Shop;On_Sale;For;Known_Brand;Leather;Color;Prijs
wedges;online;yes;female;yes;yes;black;78,3
wedges;online;no;female;yes;yes;black;209,25
wedges;online;yes;female;yes;yes;brown;30,24
wedges;online;no;female;yes;yes;brown;170,1
wedges;online;yes;female;yes;yes;gray;74,25
wedges;online;no;female;yes;yes;gray;82,35
wedges;online;yes;female;yes;yes;white;58,725
wedges;online;no;female;yes;yes;white;148,5
wedges;online;yes;female;yes;yes;red;195,615
wedges;online;no;female;yes;yes;red;247,05
wedges;online;yes;female;yes;yes;blue;40,5
wedges;online;no;female;yes;yes;blue;257,85
sneakers;online;yes;male;yes;yes;black;172,935
sneakers;online;yes;female;yes;yes;black;138,915
sneakers;online;no;male;yes;yes;black;245,025
sneakers;online;no;female;yes;yes;black;190,35
sneakers;online;yes;male;yes;yes;brown;97,2
sneakers;online;no;male;yes;yes;brown;293,625
sneakers;online;yes;male;yes;yes;gray;143,775
sneakers;online;yes;female;yes;yes;gray;144,7875
sneakers;online;no;male;yes;yes;gray;243
sneakers;online;no;female;yes;yes;gray;129,6
sneakers;online;yes;male;yes;yes;white;123,525
sneakers;online;yes;female;yes;yes;white;150,8625
sneakers;online;no;male;yes;yes;white;232,875
sneakers;online;no;female;yes;yes;white;265,275
sneakers;online;yes;male;yes;yes;red;123,525
sneakers;online;yes;female;yes;yes;red;92,1375
sneakers;online;no;male;yes;yes;red;220,725
sneakers;online;no;female;yes;yes;red;153,9
sneakers;online;yes;male;yes;yes;blue;180,0225
sneakers;online;yes;female;yes;yes;blue;93,555
sneakers;online;no;male;yes;yes;blue;137,7
sneakers;online;no;female;yes;yes;blue;153,9
heals;online;yes;female;yes;yes;black;18,9
heals;online;no;female;yes;yes;black;450,45
heals;online;yes;female;yes;yes;brown;173,25
heals;online;no;female;yes;yes;brown;242,55
heals;online;yes;female;yes;yes;gray;310,905
heals;online;no;female;yes;yes;gray;154,35
heals;online;yes;female;yes;yes;white;152,775
heals;online;no;female;yes;yes;white;292,95
heals;online;yes;female;yes;yes;red;242,55
heals;online;no;female;yes;yes;red;343,35
heals;online;yes;female;yes;yes;blue;116,55
